date,well_name,hover_open,pressure_down,temperature_down,chock_size,pressure_top,temprature_top,chocke_pressure,oil,gas,water,water_i,FLOW_KIND
2008-03-09,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-10,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-11,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-12,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-13,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-14,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-15,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-16,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-17,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-18,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-19,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-20,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-21,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-22,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-23,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-24,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-25,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-26,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-27,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-28,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-29,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-30,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-03-31,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-04-01,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-04-02,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-04-03,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-04-04,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-04-05,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-04-06,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-04-07,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-04-08,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
2008-04-09,NO 15/9-F-4 AH,0.0,,,,,,0.0,,,,,injection
